triangle_key,2017,2018,2019,2020,2021,2022
BTC|TRX|TUSD,0,0,6,39,21,7
BNB|ICX|USDT,0,45,16,8,4,0
PAX|USDT|XRP,0,1,1,39,32,0
BTC|PAX|TRX,0,0,7,42,23,0
BNB|PERL|USDT,0,0,4,9,49,10
BUSD|FIO|USDT,0,0,0,1,67,3
BUSD|CKB|USDT,0,0,0,0,54,17
BTC|ETH|WAN,0,33,17,10,8,2
CVC|ETH|USDT,0,0,8,15,44,1
BNB|ENJ|ETH,0,23,32,6,5,0
BLZ|ETH|USDT,0,0,0,11,54,1
ETH|MTL|USDT,0,0,9,8,32,16
BTC|ETH|XEM,0,21,31,4,8,0
ETH|MFT|USDT,0,0,16,19,19,9
BNB|BTC|CTSI,0,0,0,23,40,0
BNB|USDT|WRX,0,0,0,10,35,18
BTC|MTL|USDT,0,0,18,25,18,1
BTC|BUSD|YFII,0,0,0,60,0,2
BTC|USDT|XEM,0,0,0,1,8,52
BTC|LSK|USDT,0,0,0,46,7,8
BUSD|USDT|WRX,0,0,0,3,7,51
BUSD|ETH|HOT,0,0,0,0,10,49
BNB|BTC|WRX,0,0,0,8,47,4
ETH|LINK|USDC,0,0,47,10,0,0
BUSD|TKO|USDT,0,0,0,0,15,42
BNB|ETH|XRP,0,10,0,0,47,0
BAND|BTC|USDT,0,0,30,27,0,0
EOS|TUSD|USDT,0,3,8,11,34,0
BTC|DCR|USDT,0,0,0,40,5,11
BEL|BTC|BUSD,0,0,0,30,24,1
BTC|RLC|USDT,0,0,27,28,0,0
BTC|ONG|USDT,0,0,29,19,6,1
BNB|BTC|CHR,0,0,0,25,30,0
BNB|TRY|XRP,0,0,0,7,48,0
BTT|BUSD|USDC,0,0,0,0,55,0
BTC|CVC|USDT,0,0,28,23,0,4
ENJ|ETH|USDT,0,0,25,24,3,2
BTC|USDT|WAN,0,0,37,11,6,0
BTC|FLM|USDT,0,0,0,2,2,49
BUSD|INJ|USDT,0,0,0,7,38,8
BTC|LTO|USDT,0,0,0,38,12,3
BNB|FET|USDT,0,0,19,10,9,13
BNB|GBP|XRP,0,0,0,0,51,0
USDC|USDT|WIN,0,0,17,22,12,0
BNB|CHZ|USDT,0,0,17,26,8,0
BTC|PNT|USDT,0,0,0,22,22,7
BNB|THETA|USDT,0,0,17,19,15,0
BNB|BTC|HBAR,0,0,17,14,14,6
BTC|NANO|USDT,0,0,28,22,1,0
TUSD|USDT|XRP,0,4,7,15,21,4
ETH|LTC|USDT,42,8,0,0,0,0
ADA|ETH|TUSD,0,0,1,10,35,3
BNB|ENJ|USDT,0,0,9,21,18,1
BUSD|SUPER|USDT,0,0,0,0,46,3
BNB|TUSD|USDT,0,0,3,22,24,0
BTC|TOMO|USDT,0,0,27,16,1,5
ALPHA|BTC|BUSD,0,0,0,25,24,0
ETH|KEY|USDT,0,0,12,9,19,8
BNB|BUSD|RUNE,0,0,0,39,9,0
BTC|FET|USDT,0,0,9,32,6,0
BTC|USDT|YFII,0,0,0,0,0,47
BTC|BUSD|DIA,0,0,0,34,9,4
BTC|PAX|XRP,0,1,1,29,16,0
BNB|BTC|FET,0,0,12,10,17,8
BTC|ENJ|USDT,0,0,29,17,0,0
BNB|HOT|USDT,0,0,15,20,9,2
